French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
Kipping au congrès de die Linke sur l'Eurôpe : l'Europe est depuis longtemps un continent ; d'immigration. ; ;,Furopa-Parteitag der Linken : Kipping: Europa 1st längst en Kontinent der Finwanderung,Europa-Parteitag dèr Linken: Kipping: Europa ist ın ; erster Linie ein Kontinent der Einwanderung.,Europa-Parteitag der Linken: Kipping: Europa ist schon ; immer ein Kontinent der Einwanderung gewesen. S,Europa-Parteitag der Linken: Kipping: Europa ist nicht nur ein Kontinent der Einwanderung.,Europa-Parteifag der Linken: Kipping: Europa 1st teils ein Kontinent der Einwanderung. ;,_ Kipping au congrès de die Linke sur l'Amérique : ; l'Amérique est depuis longtemps un continent d'immigration.,Kipping au congrès de die Linke:sur l'Afrique : l'Afrique est depuis longtemps un continent ; d'émigration. ;,Kipping au congrès de'die Linke sur l'Asie : l'Asie est depuis longtémps un continent de diversité. ;,S Kipping au congrès de die Linke sur l'Europe : l'Europe est depuis longtemps un continent de coexistence. .
"A Bonn, le parti die Linke decide de son programme pour les élections européennes. . S",; Die Linkspartei beschlieBt in Bonn 1hr Programm zur Europawahl. ; ;,- Die Linkspartet beschlieBtin Bonn ıhr Programm zur Bundestagswahl.,Die Linkspartei verweigert in Bonn ihr Programm zur _ Europawahl: -,Die FDP beschließt in Bonn ihr Programm zur I Europawahl. ' ;,Die Linkspartei beschließt in Berlin ihr Programm zur Europawahl.,"À Bonn, le parti die Linke déclare son intention pour les élections municipales.","Avec Bonn, le parti die Linke choisit-son programme - ‘ pour les éléctions législatives.","; A Bonn, le-parti du Centre décide de son programme pour les élections européennes.","A Bonn, le pärti die Linke décide contre son programme pour les élections européénnés."
"Kipping; la chef de parti, met en garde contre ; l'isolement et éritique inditectement sa camarade . Wagenknecht.",Parteichefin Kipping warnt vor Abschottung-und _ - kritisiert indirekt ihre Genossin Wagenknecht. -—,Parteichefin Kipping warnt vor Isolation - und . kritisiert indirekt ihre Genossin Wagenknecht. .,Parteichefin Kipping spricht Warnung vor Abschottung aus - und tadelt indirekt 1ihre Génossin Wagenknecht. ;,;“ Parteichefin Kipping äußert Bedenken gegenüber n ; Abschottung - und kritisiert indirekt ihre Genossin Wagenknecht. .,Parteichefin Kipping gibt Warnung vor Abschottung zu ; bedenken - und kritisiert indirekt ihre. Genossin “ Wagenknecht. ;,"; Kipping, le chef de cuisine; met én garde contre l'indigestion et critique indirectement son collègue . Wagenknecht. ; .","Kipping, le chef d'orchestre, met en garde contre le désaccord et critique indirectement son musicien Wagenknecht. ;","Kipping‚ le chef d'équipe, met en garde contre l'épuisement et critique indirectement son joueur Wagenknecht. ;","Kipping, le chef de gare, met en garde contre le retard et critique indirectement son contrôleur -Wagenknecht. ;"
"Katja Kipping; la présidente du parti die Linke au Bundestag, a exhorté son parti à se positionner ; clairement sur la question de la solidarité ou de “ l'isolement. ;","Die Linken-Bundésvorsitzende Katja Kipping hat ıhre Partei aufgefordert, sich in der Frage zwischen  ; Abschottung oder Solidarität eindeutig zu positionieren. ; ;","Der Grünen-Bundesvorsitzende Robert Habeck hat seine  Partei aufgefordert, sich ın der Frage zwischen  Umweltschutz oder Industrialisierung eindeutig zu n positionieren. ;","Die FDP-Bundesvorsitzende Nicola Beer hat ihre Partei aufgefordert, sich in der Frage zwischen Liberalismus oder Konservatismus eindeutig zu positionieren.","Der SPD-Bundesvorsitzende Norbert Walter-Borjans hat ; seine Partei aufgefordert, sich ın der Frage zwischen : - ; Sozialismus oder Kapitalısmus eindeutig zu ‘ positionieren. i","Die CDU-Bundesvorsitzende Annegret Kramp-Karrenbauer  hat ıhre Partei aufgefordert, sich ın der Frage ;  zwischen Multikulturalismus oder Assimilation ; . eindeutig zu-pösitionieren. ;","Katja Kipping, la présidente du parti die Linke au -  ; Bundestag, à pressé sôn parti de se démarquer . nettement sur la question de l'équité.ou de la disérimination. ; ; ;","Katja Kipping, l'oratrice principale du parti die  Linke au Bundestag, a encouragé son parti à se déterminer fermement sur le sujet de l'harmonie ou du désaccord.","Katja Kipping, la cheffe du parti die Linke au Bundestag; a incité son parti à se prononcer ‘  _ explicitement sur la problématique de l'unité ou de la division. ; . ; ;","Katja Kipping, la dirigeante du-parti die Linke au ; Bundestag, a-sollicité son parti à se déclarer  . distinctement sur:le.dilemme de la coopération ou de l'individualisme. ; _ ;"
"A l'mauguration du:congres européen à Bonn, Kipping a  dit : ""Pour aller dans le sens de cette clarté, Je  difais aussi : l'Europe est depuis longtemps un ; ; continent d'immigration."" ;","Zum Auftakt des Europaparteitags in Bonn sagte Kipping: ""Im Sinne dieser Emdeutigkeit sagte ich auch: Europa ist längst ein Kontment der Finwanderung."" —- -","_ ""Zum Abschluss des Europaparteitags in Hamburg äußerte Kipping:'In Anbetracht dieser Klarheit betonte ich ; auch: Furopa war stets ein Kontinent der ; = Auswanderung:"" . E ;","- <""Zur Mitte des Europaparteitags ın München bemerkte Kipping: 'Aufgrund dieser Präzision meinte 1ch auch: Europa wird ständig ein Kontinent der Umsiedlung.""","""Am Anfang des Europaparteitags in Berlin behauptete  ; Kipping: 'Im Rahmen dieser Deutlichkeit erklärteich … auch: Europa bleibt immer ein Kontinent der Migration.'"" i","""Zur Eröffnung des Europaparteitags in Stuttgart . verkündete Kipping: 'Angesichts dieser Genauigkeit  sägte ich auch: Furopa war schon immer ein Kontinent } der Emigration:'"" . ;","Lors de l'ouverture du sommiet européen à Genève,  Dupont a déclaré : ""Pour avancer dans cette direction  dé transparence, je dirais aussi : l'Europe'a  longtemps été un continent d'émigration.” ;","A l’inauguration de la conférence euro-americaine à  Madrid, Dumas a affirmé : ""Pour s’aligner sur cette  précision, je dirais toutefois : l'Europe est depuis ; “ quelques-décennièsun continent de migration."" ,","Au démarrage du colloque européen à Rome, Schneider a exprimé : ""Pour aller dans la Voie de cette nettèté, ; J'ajouterais également - l'Europe.a depuis longtemps  cessé d'être un continent d'immigration."" -","A l'introduction du symposium européen à Berlin, ; ; Martin a insinué-: ""Pour suivre cette clarté, je: -  dirais en outre : l'Europe est depuis un certain temps  un-continent d’immigration."""
"Le droit à la liberté et de mouvement à l'échelle mondiale, est selon-elle, ""un bien de grande valeur"", . et les Droits de l'Homme indıvisibles:","Das ""Recht auf weltweite Bewegungs- und - Auswanderungsfreiheit"" sei ""ein hohes Gut"", ; Menschenrechte unteilbar.","""Das Recht auf weltweite Informations- und Meinungsfreiheit' ser'ern hohes Gut', Kommunikationsréchte unteilbar.""","""Das 'Recht auf weltweite Gesundheitsversorgung und Behandlungsfretheit'sei'ern hohes-Gut’, Patientenrechte unteilbar.""","""Das 'Recht auf weltweite Bildungs- und Lernfreiheit"" - ; sel'ein hohes Guf', Bildungsrechte unteilbar."" ;","‘’Das 'Recht auf weltweite Glaubens- und “ Religionsfreiheit' sei 'ein hohes Gut', Glaubensrechte unteilbar."" .","; Le droit à l'éducation et à l'épanouissement à “ l'échelle individuelle, est selon lui, ‘’ün bien de grande importance"", et les Droits de l'Enfant _ Ihaliénables. ;","Le droit à la santé et ä la mobilite à l'échelle nationale, est selon eux, ""unbien de haute nécessité"", et les Droits du Patient inséparables.","Le droit à l'expression et à l'information à l'échelle globale, est selon nous, un bien de grande priorité"", et-les Droits de la Presse inviolables.","Le droit à l'emploi et à la progression à l'échelle professionnelle, est selon vous, ""un-bien de grande  . signification”, et les Droits du Travailleur ; ; fondamentaux: ;"
"_ Kipping a contredit indirectement la présidente du ; groupe parlementaire Sarah Wagenknecht, qui n'a cessé « < d'exprimer saréticence envers une politique i d'immigration trop accueillante et quı avait également *. critiqué à maintes reprises la chancelière Angela | - Merkel (CDU) pour cette même raison. ‘","Indirekt widersprach Kipping damit auch der — ; Fraktionsvorsitzenden Sahra Wagenknecht, die ımmer wieder Vorbehalte gegen eine‘zu flüchtlingsfreundliche  ; Politik geäußert und deshalb auch Kanzlerin Angela Merkel (CDU) mehrfach kritisiert hatte.","Direkt unterstützte Kıipping damit den  ; Fraktionsvorsitzenden Sahra Wagenknecht, diè ımmer wieder ihren Wunsch nach einer ; flüchtlingsfreundlicheren Politik geäußert und deshalb auch Kanzlerin Angela Merkel (CDU) ôffentlich gelobt - hatte.","Indirekt zollte Kipping damit der  Fraktionsvorsitzenden Sahra Wagenknecht Réspekt, diè  trotz ihrér Vorbehalte gegen eine zu ;  flüchtlingsfreundliche Politik, die Kanzlerin Angela - ; Merkel (CDU) selten kritisiert hatte:","Indirekt stimmte Kipping damit nieht der ; Fraktionsvorsitzenden Sahra Wagenknecht zu; die trotz ihrer Unterstützung für eine flüchtlingsfreundliche - ; Politik, Kanzlerin Angela Merkel.(CDU). wiederholt “ angegriffen hatte. .","- — Indirekt sprach Kipping damit der i Fraktionsvorsitzenden Sahra-Wagenknecht Lob zu, die “lhre Vorbehalte gegen eine zu flüchtlingsffeundliche- Politik ausgedrückt und dafür Kanzlerin Angela Merkel (CDU) wiederholt gelobt hatte. ;","2 Kipping a indirectement soutenu la présidente du . groupe parlementaire Sarah Wagenknecht, qui n'a cessé de manifester son enthousiasme pour une politique  “ d'immigration accueillante'et à également loué à “ plusieurs reprises la chancelièreAngela Merkel (CDU) pour cette même raison. ; ‘","Kipping a directement contredit la présidente du . groupe parlementaire Sarah Wagenknecht, qui n'a jamais  . exprime sa réticence envers une politique ; d'immigration trop accueillante et qui avait égalément ; felicite la chancelière Angela Merkel (CDU) pour cette même raison. ; .","Kipping a indirectement confirmé la position de la ” . présidente du groupe parlementaire Sarah Wagenknecht, “ - qui n'à cessé d'exprimer sa réticernice.envers une -politique d'immigration trop.accueillante et qui avait également critiqué à maintes reprises la chancelière Angela Merkel (CDU) pour cette même raison.","; Kipping n'a pas indirectement contredit la présidente ‘  ; du groupe parlementaire Sarah Wagenknecht, qui n'a cessé d'exprimer sa réticence envers une politique . d'immigration trop accueillante et qui avait également ..  “ ‘eritiqué la chancelière Angela Merkel (CDU) à-maintés reprises pour cette même raison:"
"Depuis plusieurs semaines déjà, Wagenknecht, la politicienne la plus connue de die Linke, est tombee malade. ; .",Wagenknecht ist als bekannteste Politikerin der Linken -— … “ bereits seit mehreren Wochen erkrankt. ;,"Wagenknecht‚ als bekannteste Politikerin der Linken, hat bereits seit mehreren Wochen gefehlt. ;","Wagenknecht, als. bekannteste Politikerin der Linken, ist bereits seit-mehreren Wochen verhindert. ;","Wagenknecht, die bekannteste Autorin der Linken, ist bereits seit mehreren Wochen erkrankt. ‘",Wagenknecht ist als renommierteste Forscherin der / Linken seit mehreren Wochen erkrankt.,"Depuis plusieurs semaines maintenant, Wagenknecht; le ; . politicien le moins connu de die Linke, se:trouve en bonne santé. ;","Depuis quelques années déjà, Wagenknecht, l'économiste la plus renommée de die Linke, est tombée en'disgrâce.","Cela fait plusieurs semaines. que Wagenknecht, la politicienne la plus critique de die Linke, est en | congé maladie. ;","Depuis plusieurs semaines déjà, die Linke, le parti politique le plus connu de Wagenknecht, est tombé en déclin. ; ;"
C'est également pour cette raison qu'elle ne participe pas au congrès du parti à Bonn.,Sie nimmt deshalb auch nicht an dem Parteitag in Bonn ; teil.,"‘""Sie nımmt jedoch nicht an dem Parteitag in Bonn teil."" ;","_ . ""Sie'nimmt nur deshalb an dem Parteitag ın Bonn teil."" ;","; ""Sie nimmt deshalb.den Parteitag in Bonn nicht ernst.”","; ""Sıe nimmt deshalb doch an dem Parteitag n Bonn . teil."" . ;",; — -C'est précisément pour cette raison qu'elle n'assiste pas à la convention du parti à Lyon. ;,C'est Justement pour cette raison qu'elle ne contribue pas: à la conférence du parti à Marseille. ; ;,C'est exactement pour cette raison qu'elle ne ; collabore-pas à l'assemblée du parti à Bordeaux: -,C'est spécifiquement pour cette.raison qu'elle ne s'implique pas à la réunion du parti à Toulouse.
"Début janvier, le groupe.parlementaire du Bundestag ;: avait laissé filer la polémique qu'elle:avait suséité dansle contexte-des contrôverses'sur la politique d'immigration. .",“ Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Flüchtlingspolitik geplanten LS Aufstand Anfang Januar abgeblasen. .. ; ;,Die Bundestagsfraktion hatte einen gegen sie wegen der — Kontroversen um die Wirtschaftspolitik geplanten Aufstand -Anfang Februar abgeblasen. ;,Die Bundestagsfraktion hatte einen gegen sié wegen der Kontroversen um die Bildungspolitik geplanten Aufstand Anfang März abgeblasen. ;,Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Umweltpolitik geplanten Aufstañd Anfang April abgeblasen. .,/ Die Bundestagsfraktion-hatte einen gegen sie wegen der Kontroversen um die Gesundheitspolitik geplanten ‘ Aufstand Anfang Mar abgeblasen. c,"Debut janvier, le groupe parlementaire du Bundestag “avait chassé la tempête qu'il avait engendré dans'le contexte des débats sur la-politiquë d'immigration.","Début janvier, le groupe parlementaire du Bundestag  avait englouti la critique qu'elle:avait provoqué dans  l'environnement des disputes sur la politique . ; d'immigration. . ;","Début janvier, le groupe parlementaire du Bundestag ; avait seme Ja controverse qu'il avait créé dans le - ‘cadre-des querelles sur la politique.d'immigration. … -","Début janvier, le groupe parlementaire du Bundestag . avait nourri le debat.qu'elle avait déclenché au ; milieu des polemiques sur la-politique d'immigration."
