French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
Kipping au congrès de die Linke sur l'Europe : l'Europe est depuis longtemps un continent d'immigration.,Europa-Parteitag der Linken : Kipping: Europa ist längst ein Kontinent der Einwanderung,Europa-Parteitag der Linken: Kipping: Europa ist In erster Linie ein Rontinent der Cinvanderung.,Europa-Parteitag der Linken: Kipping: Europa ist schon immer ein Kontinent der Einwanderung gewesen.,Europa-Parteitag der Linken: Kippinag: Europa ist nicht nur ein Kontinent der Einwanderung.,Europa-Parteitag der Linken: Kipping: Europa ist teils ein Kontinent der Einwanderung.,Kipping au conËrès de die Linke sur l'Amérique : l'Amérique est depuis longtemps un continent d'immigration.,KiÊp_iﬁg au congrès de die Linke sur l'Afrique : l'Afrique est depuis longtemps un continent d'émigration.,Kipâiﬂg au congrès de die Linke sur l'Asie : l'Asie est depuis longtemps un continent de diversité.,Kipping au congrès de die Linke sur l'Europe : l'Europe est depuis longiemps un continent de coexistence.
"A Bonn, le parti die Linke décide de son programme pour les élections européennes.",Die Linkspartei beschließt in Bonn ihr Programm zur Europawahl.,Die Linkspartei beschließt in Bonn ihr Programm zur Bundestagswahl.,Die Linkspartei verweigert in Bonn ibr Programm zur Europawahl.,Die FDP beschließt in Bonn ihr Programm zur Europawahl.,Die Linkspartei beschließt in Berlin ihr Programm zur Europawahl.,"ÀA Bonn, le parti die Linke déclare son intention pour les élections municipales.","Avec Bonn, le parti die Linke choisit son programme pour les élections législatives.","A Bonn, le parti du Centre décide de son programme pour les élections européennes.","À Bonn, le parti die Linke décide contre son programme pour les élections européennes."
"Kipping, la chef de parti, met en garde contre l'isciement et critique indirectement sa camarade Wagenimecht.",Parteichefin Kipping warnt vor Abschottung - und kritisiert indirekt Ihre Genossin Wagenknecht.,Parteichefin Kipping warnt vor Isolation - und kritisiert indirekt Ihre Genossin Wagenknecht.,Parteichefin Kipping spricht Marnung vor Abschottung aug - und fadelt indirekt ihre Genossin Wagenknerht.,Parteichefin Kipping äußert Bedenken gegenüber Abschottung - und kritisiert indivekt Ihre Genossin Wagenknuecht.,Parteichefin Kipping aibt Yarnung vor Abschottung zu bedenken - und kritistert indirekt Ihre Genossin Wagenknerht.,"Kipâiﬁg, de chef de cuisme, met en garde contre l'indigestion et critique indirectement son collègue Wagenknecht.","Kipping, le chef d'orchestre, met en garde contre le désaccord et critique indirectement son musicien Wagenknecht.","Kipping, le chef d'équipe, met en garde contre l'épuisement et critique indirectement son joueur Wagenimecht.","Kipping, le chef de gare, met en garde conire le retard et critique indirecternent son contrôleur Wagenknecht."
"Katia Kipping, la présidente du parti die Linke au Bundestag, à exhorté son parti à se positionner clairement sur la question de la solidarité ou de l'isolement.","Die Linken-Bundesvorsitzende Katja Kipping hat ibre Partei aufgefordert, sich in der Frage zwischen Abschottung oder Solidarität eindeutig zu positionieren.","Der Grinen-Bundesvorsitende Robert Baberk hat seine Partei aufgefordert, sich in der Frage zwischen Umweltschutz oder Industrialisierung eindeutig zu positionieren.","Die FDP-Bundesvorsitzende Nicola Beer hat ihre Partei aufgefordert, sich in der Frage zwischen Liberalismus oder Konserbatismus eindeutig zu positionieren.","Der SPD-Bundesvorsitzende Morbert Malter-Borjans hat geine Partei aufgefordert, sich in der Frage zwischen Sozialismus oder Kapitalismus eindeutig zu  positionieren.","Die CDU-Bundesvorsitzende Annegret Kramp-Rarrenbauer bat ibre Partei aufgefordert, sich in der Frage  zwischen Mlultikulturalismus oder Assimilation  eindeutig 3u positionteren.","Katia Kipping, la présidente du parti die Linke au Eundestag, a pressé son parti de se démarquer netternent sur la question de l'équité ou deqËa discrimination.","Ka‘tja Kipping, l'oratrice prinoinale du parti die  Linxe au Bundestag, a encouragé son parti à se déterminer fermement sur le sujet de l""Êarm@nie ou du désaccord.","Katja Kipping, la cheffe du part die Linke au Bundesiag, a incité son part: à se prononcer explicitement sur la pm‘Ëlématique de l'unité ou de la division.","Katia Kipping, la dirigeante du parti die Limke au Bundestag, a sollicité son parti à se déclarer distinctement sur le dilemme de la coopération ou de l'individuatisme."
"À l'inauguration du congrès européen à Bonn, Kipping à dit : ""Pour aller dans le sens de cette ciarté, je  dirais aussi : l'Furope est depuis |ongtemps un  continent d'immigration.”","Zum Auftakt des Europaparteitags in Bonn sagte Ripping: ""Im Sinne dieser Eindeutigkeit sagte ich auch: Curopa ist längst ein Kontinent der Einwanderung.""","""Zum Abschluss des Europaparteitags in Damburg äußerte Kippina: 'In Anbetracht dieser Klarheit betonte ich  auch: Europa war stets ein Kontinent der Aluswanderung. ""","""Zur Mitte des Europaparteitags in München bemerkte Kipping: 'Aufgrund dieser Präsision meinte ich auch: Europa wird ständig ein Kontinent der Umsiedlung.'""","""Am @(nfagg des Europaparteitags in Berlin behauptete Kippina: 'Im Rahmen dieser Deutlichkeit erklärte ich auch: Europa bleibt immer ein Kontinent der Migration.'""","""Zur Eröffnung des Europaparteitags in Stuttgart verkündete Kipping: 'Angesichts dieser Genauigkeit sagte ich auch: Europa war schon immer ein Kontinent der Emigration.'""","Lors de l'ouverture du sommet européen à Genève, Dupont a déclaré : ""Pour avancer dans cette direction de transparence, je dirais ausst : l'Europe a longtemps été un continent d'émigration.""","ÀA l’inauguration de la conférence euro-américaine à Madrid, Dumas a affirmé : ""Pour s’aligner sur cette précision, je dirais toutefois : l'Furope est depuis quelques décennies un confinent de migration.""","Au démarrage du colloque européen à Rome, Schneider à exprimé : ""Pour aller dans la voie de cette netteté, j'ajouterais également : l'Europe a depuis iongtemps cessé d'être un continent d'immigration.”","À l'introduction du symposiurm européen à Berlin, Martin a insinué : ""Pour suivre cette clarté, je  dirais en outre : l'Europe est depuis Un certain temps un continent d’immngration."""
"Le droit à la iiberté eÎ deﬁmogvemç{nt à 1”é_“h€H«Î j mondaalcæ,ÿ est seion elle, ""un bien de granäe valeur"", etles Droits de l'Homme mdaivisibles.","Das ""Recht auf weltweite Bewegungs- und Auswanderungsfreiheit"" set ""ein hohes Eut"", Menschenrechte unteilbar.","""Bas 'Mecht auf weltweite Informations- und Meinungsfreiheit' sei 'ein bobes Gut', Kommunikationsrechte unteilbar.""","""Das 'Recht auf weltweite Gesundheitsversorgung und Behandlungsfreiheit' set 'ein hohes Eut', Patientenrechte unteilbar.""","""Bas 'Recht auf weltweite Bildungs- und Lernfreibeit set 'ein hohes Gut', Bildungsrechte unteilbar.""","""Das 'Recht auf weltweite Glaubens- und Meligionsfreibeit' sei 'ein hohes Gut', Glaubensrechte unteflbar.""","Le droit à l'éducation et à l'épanouissement à l'échelle madividuelle, est selon iui, ""un bien de grande 1mportance"", et les Droits de l'Enfant imaliénables.","Le droit à la santé et à la mobilité à l'échelle nationale, est selon eux, ‘an bien de haute nécessité”, et les Droits du Patient inséparables.","Le droit à l'expression et à l'information à l'échelle globale, est selon nous, ""un bien de grande priorité”, et les Droits de la Presse inviolables.","Le droit à l'emploi et à ja progression à l'échelle professionnelle, est selon vous, “un bien de grande signification"", et les Droits du Travailleur fondamentaux."
"Kipping a contredit indirectement la présidente du groupe parlementaire Sarah Wagenknecht, qui n'a cessé d'exprimer sa réticence envers une politique d'immigration trop accueillante et qui avait également critiqué à maintes reprises la chancelière Angela  erkei (C r cette mê aison. Merkel (CDU) pour cette même raison","Indirekt widersprach Kipping damit auch der Fraktionsvorsitzenden Sahra Wagenknecht, die immer wieder Yorbehalte gegen eine zu flüchtlingsfreundliche Politik geäußert und deshalb auch Kanslerin Angela Merkel (CDU) mebrfach kritisiert hatte.","Direkt unterstützte Kipping damit den  Fraktionsvorsitenden Sabra Wagenknecht, die immer  toteder fhren Yunsch nach einer  flichtlingsfreundlicheren Politik geäußert und deshalb  Ëutlj Kanzlerin Angela Merkel (CDU) dffentlich gelobt atte.","Indirekt zollte Kipping damit der  Fraktionsvorsitenden Sahra Wagenknecht Respekt, die trots ihrer Yorbehalte gegen eine zu flüchtlingsfreundliche Politik, die Kanzlerin Angela Merkel (CDU) selten kritisiert hatte.","Indirekt stimmte Kipping damit nicht der Fraktionsvorsitzenden Sahra Wagenknecht 3u, die trotz ihrer Unterstütsung für eine flüchtlingsfreundliche Politik, Kanzlerin Angela Merkel (CDU) wiederholt angegriffen batte.","Indirekt sprach Kipping damit der Fraktionsvorsitenden Sabra Wagenknecht Lob 3u, die ihre Porbebalte gegen eine 3u flüchtlingsfreundliche Politik ausgedritekt und dafür Kanslerin Angela Merkel (CDU) wiederholt gelobt hatte.","Kippimg a indirectement soutenu la ËÏÉSid€HŒ du groupe parlementaire Sarah Wagenknecht, qui n'a cessé de manifester son enthousiasme pour une Ë0hîlqu«3 d'immigration accueillante et a également ioué à plusieurs reprises la chancelière Angela Merkel (CDU) pour cette même raison.","Kimping a directement contredit la présidente du  groupe parlementaire Sarah Wagenknecht, qui n'a jamais exprimé sa réticence envers une politique  d'immigration trop accueillante et qui avait également félicité la chancelière Angela Merkel (CDU) pour cette même raison.","Kipping a indirectement confirmé la position de la présidente du groupe parlernentaire Sarah Wagenkmecht, qui n'a cessé d°”exp1‘imer sa réticence envers une politique d'immigration trop accueillante et qui avait également critiqué à maintes reprises la chancelière Angela Merkel (CDU) pour ceîte même raison.","Kipping n'a pas Indirectement contredit la présidente du groupe pariementaire Sarah Wagenknecht, qui n'a cessé d'exprimer sa réticence envers une p_ohüqÏ‘ue d'immrigration tr0ï accueillante et qui avait également critiqué la chancelière Angela Mertel (CDU) à maintes reprises pour cette même raison."
"Deîpuis plusieurs semaines déjà, Wagenknecht, la politicienne la plus connue de die Linke, est tombée malade.",Wagenknecht ist alg bekannteste Politikerin der Linken bereits seit mebreven Wochen erkrankt.,"Wagenknecht, alg bekannteste Politikerin der Linken, hat bereits seit mehreren Worchen gefehlt.","Wagenknecht, alg bekannteste Politikerin der Linken, ist beveits seit mehreren Worhen verhindert.","Wagenknecht, die bekannteste Autorin der Linken, ist bereits seit mehreren Wochen erkrankt.",Wagenknecht ist alg renommierteste Forscherin der Linken seit mehreren Mochen erkrankt.,"Deïpuig plusieurs semaines maintenant, Wagenknecht, ie Ë0 iticien le moms connu de die Linkce, se trouve en onne santé.","Depuis quelques années déjà, Wagenknechi, l'économiste la plus renommée de die Linke, est tombée en disgrâce.","Cela fait plusieurs semaines que Wagenknecht, la politicienne la plus critique de die Linke, est en congé maladie.","DeÏpuis plusieurs semaines déjà, die Linke, ie parti pofitique le plus connu de Wageninecht, est tombé en déclin."
C'est également dpour cette raison qu'elle ne participe pas au congrès du parti à Bonn.,âvile nimmt deshalb auch nicht an dem Parteitag In Bonn teil.,"""âîie nimmt jedoch nicht an dem Parteitag in Bonn teil.""","""Sie nimmt nur deshalb an dem Parteitag in Bonn teil.""","""Sie nimmt deshalb den Parteitag in Bonn nicht ernst.""","""âîie nimmt deshalb doch an dem Parteitag in Bonn teil.""",C'est précisément pour cette raison qu'elle n'assiste pas à la convention du parti à Lyon.,C'esi justement pour cette raison qu'elle ne contribue pas à la conférence du parti à Marseille.,C'est exactement pour cette raison qu’elle ne collabore pas à l'assemblée du parti à Bordeaux.,C'est spécifiquement pour ceite raison qu'elle ne s'implique pas à la réunion du parti à Toulouse.
"Début janvier, le groupe parlementaire du Bundestag avait laissé filer la polémique qu'elle avait suscité dans le contexte des controverses sur la politique d'immigration.",Die Bundestagsfraktion hatte einen gegen sie wegen der Rontroversen um die Flüchtlingspolitik geplanten Aufstand Anfang Januar abgeblagen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Rontroversen um die Wirtschaftspolitik geplanten Aufstand Anfang Februar abgeblasen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Bildungspolitik geplanten Aufstand Anfang Märs abgeblasen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die AUmweltpolitik geplanten Aufstand Anfang April abgeblasen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Rontroversen um die Gesundheitspolitik geplanten Aufstand Anfang Mai abgeblasen.,"Débui %anvier, le groupe parlementaire du Bundestag avait chassé la tempêète Ëu‘ﬂ avait engendré dans le contexte des débats sur la politique (Êmmlgmtmn.","Début janvier, \e groupe parlementaire du Bundestag avait englouti la critique qu'elle avait provoqué dans l'environnement des äispuœs sur la politique d'immigration.","Débui janvier, ie groupe partementaire du Bundestag avait semé la controverse qu'il avait créé dans le caëre des querelles sur !a politique d'immigration.","Début janvier, le groupe lpaﬂemæntaiæ du Bundestag avait nourri le débat qu'elle avait déclenché au - milieu des polémiques sur la politique d'immigration."
