French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
Kipping au congrès de die Linke sur l'Europe : l'Europe est depuis longtemps un continent d'immigration.,Europa-Parteitag der Linken : Kipping: Europa ist längst ein Kontinent der Einwanderung,Europa-Parteitag der Linken: Kipping: Europa ist ın erster Linie ein Kontinent der Einwanderung.,Europa-Parteitag der Linken: Kipping: Europa ist schon immer ein Kontinent der Einwanderung gewesen.,Europa-Parteitag der Linken: Kipping: Europa ist nicht nur ein Kontinent der Einwanderung.,Europa-Parteitag der Linken: Kipping: Europa ist teils ein Kontinent der Einwanderung.,Kipping au congrès de die Linke sur l'Amérique : l'Amérique est depuis longtemps un continent d'immigration.,Kipping au congrès de die Linke sur l'Afrique : l'Afrique est depuis longtemps un continent d'émigration.,Kipping au congrès de die Linke sur l'Asie : l'Asie est depuis longtemps un continent de diversite.,Kipping au congrès de die Linke sur l'Europe : l'Europe est depuis longtemps un continent de coexistence.
"A Bonn, le parti die Linke décide de son programme pour les élections européennes.",Die Linkspartei beschließt iın Bonn ıhr Programm zur Europawahl.,Die Linkspartei beschließt iın Bonn ıhr Programm zur Bundestagswahl.,Die Linkspartei verweigert in Bonn ihr Programm zur Europawahl.,Die FDP beschließt in Bonn ihr Programm zur Europawahl.,Die Linkspartei beschließt in Berlin ihr Programm zur Europawahl.,"À Bonn, le parti die Linke declare son intention pour les élections municipales.","Avec Bonn, le parti die Linke choisit son programme pour les élections législatives.","A Bonn, le parti du Centre décide de son programme pour les élections européennes.","A Bonn, le parti die Linke décide contre son programme pour les élections européennes."
"Kipping, la chef de parti, met en garde contre l'isolement et critique indirectement sa camarade Wagenknecht.",Parteichefin Kipping warnt vor Abschottung - und kritisiert indirekt ihre Genossin Wagenknecht.,Parteichefin Kipping warnt vor Isolation - und kritisiert indirekt ihre Genossin Wagenknecht.,Parteichefin Kipping spricht Warnung vor Abschottung aus - und tadelt indirekt ihre Genossin Wagenknecht.,Parteichefin Kipping äußert Bedenken gegenüber Abschottung - und kritisiert indirekt ihre Genossin Wagenknecht.,Parteichefin Kipping gibt Warnung vor Abschottung zu bedenken - und kritisiert indirekt ihre Genossin Wagenknecht.,"Kipping, le chef de cuisine, met en garde contre l'indigestion et critique indirectement son collègue Wagenknecht.","Kipping, le chef d'orchestre, met en garde contre le désaccord et critique indirectement son musicien Wagenknecht.","Kipping, le chef d'équipe, met en garde contre l'épuisement et critique indirectement son joueur Wagenknecht.","Kipping, le chef de gare, met en garde contre le retard et critique indirectement son contrôleur Wagenknecht."
"Katja Kipping, la presidente du partı die Linke au Bundestag, a exhorté son parti à se positionner clairement sur la question de la solidarité ou de l'isolement.","Die Linken-Bundesvorsitzende Katja Kipping hat ihre Partei aufgefordert, sich in der Frage zwischen Abschottung oder Solidarität eindeutig zu positionieren.","Der Grünen-Bundesvorsitzende Robert Habeck hat seine Partei aufgefordert, sich in der Frage zwischen Umweltschutz oder Industrialisierung eindeutig zu positionieren.","Die FDP-Bundesvorsitzende Nicola Beer hat ihre Partei aufgefordert, sich in der Frage zwischen Liberalismus oder Konservatismus eindeutig zu positionieren.","Der SPD-Bundesvorsitzende Norbert Walter-Borjans hat seine Partei aufgefordert, sich in der Frage zwischen Sozialismus oder Kapitalismus eindeutig zu positionieren.","Die CDU-Bundesvorsitzende Annegret Kramp-Karrenbauer hat ihre Partei aufgefordert, sich ın der Frage  zwischen Multikulturalismus oder Assımilation  eindeutig zu positionieren.","Katja Kipping, la presidente du partı die Linke au Bundestag, a pressé son parti de se démarquer nettement sur la question de l'équité ou de la discrimination.","Katja Kipping, l'oratrice principale du parti die  Linke au Bundestag, a encouragé son parti à se déterminer fermement sur le sujet de l'harmonie ou du désaccord.","Katja Kipping, la cheffe du partı die Linke au Bundestag, a incite son parti à se prononcer explicitement sur la problématique de l'unité ou de la division.","Katja Kipping, la dirigeante du partı die Linke au Bundestag, a sollicité son parti à se déclarer distinctement sur le dilemme de la coopération ou de l'individualisme."
"A l'inauguration du congrès européen à Bonn, Kipping a dit : ""Pour aller dans le sens de cette clarté, je  dirais aussi : l'Europe est depuis longtemps un  continent d'immigration.""","Zum Auftakt des Europaparteitags in Bonn sagte Kipping: ""Im Sinne dieser Eindeutigkeit sagte ich auch: Europa ist längst ein Kontinent der Einwanderung.""","""Zum Abschluss des Europaparteitags ın Hamburg äußerte Kipping: 'In Anbetracht dieser Klarheit betonte ich  auch: Europa war stets ein Kontinent der  Auswanderung.'""","""Zur Mitte des Europaparteitags in München bemerkte Kipping: 'Aufgrund dieser Präzision meinte ich auch: Europa wird ständig ein Kontinent der Umsiedlung.'""","""Am Anfang des Europaparteitags in Berlin behauptete Kipping: 'Im Rahmen dieser Deutlichkeit erklärte ich auch: Europa bleibt immer ein Kontinent der Migration.'""","""Zur Eröffnung des Europaparteitags in Stuttgart verkündete Kipping: 'Angesichts dieser Genauigkeit sagte ich auch: Europa war schon immer ein Kontinent der Emigration.'""","Lors de l'ouverture du sommet européen à Genève, Dupont a déclaré : ""Pour avancer dans cette direction de transparence, je dirais aussi : l'Europe a longtemps été un continent d'émigration.""","A l’inauguration de la conférence euro-americaine à Madrid, Dumas a affirmé : ""Pour s’aligner sur cette précision, je dirais toutefois : l'Europe est depuis quelques décennies un continent de migration.""","Au démarrage du colloque européen à Rome, Schneider a exprimé : ""Pour aller dans la voie de cette netteté, J'ajouterais également : l'Europe a depuis longtemps cessé d'être un continent d'immigration.""","A l'introduction du symposium européen à Berlin, Martin a insinué : ""Pour suivre cette clarté, je  dirais en outre : l'Europe est depuis un certain temps un continent d’immigration."""
"Le droit à la liberté et de mouvement à l'échelle mondiale, est selon elle, ""un bien de grande valeur"", et les Droits de l'Homme indivisibles.","Das ""Recht auf weltweite Bewegungs- und Auswanderungsfreiheit"" sei ""ein hohes Gut"", Menschenrechte unteilbar.","""Das 'Recht auf weltweite Informations- und Meinungsfreiheit' sei 'ein hohes Gut', Kommunikationsrechte unteilbar.""","""Das ""Recht auf weltweite Gesundheitsversorgung und Behandlungsfreiheit' sei 'ein hohes Gut', Patientenrechte unteilbar.""","""Das ""Recht auf weltweite Bildungs- und Lernfreiheit' sei 'ein hohes Gut', Bildungsrechte unteilbar.""","""Das ""Recht auf weltweite Glaubens- und Religionsfreiheit' sei 'eın hohes Gut', Glaubensrechte unteilbar.""","Le droit à l'éducation et à l'épanouissement à l'échelle individuelle, est selon lui, ""un bien de grande importance"", et les Droits de l'Enfant inaliénables.","Le droit ä la santé et ä la mobilité ä l'échelle nationale, est selon eux, ""un bien de haute nécessité"", et les Droits du Patient inséparables.","Le droit à l'expression et à l'information à l'échelle globale, est selon nous, ""un bien de grande priorité"", et les Droits de la Presse inviolables.","Le droit à l'emploi et à la progression à l'échelle professionnelle, est selon vous, ""un bien de grande signification"", et les Droits du Travailleur fondamentaux."
"Kipping a contredit indirectement la presidente du groupe parlementaire Sarah Wagenknecht, qui n'a cesse d'exprimer sa réticence envers une politique d'immigration trop accueillante et qui avait également critiqué à maintes reprises la chancelière Angela Merkel (CDU) pour cette même raison.","Indirekt widersprach Kipping damit auch der Fraktionsvorsitzenden Sahra Wagenknecht, die immer wieder Vorbehalte gegen eine zu flüchtlingsfreundliche Politik geäußert und deshalb auch Kanzlerin Angela Merkel (CDU) mehrfach kritisiert hatte.","Direkt unterstützte Kipping damit den Fraktionsvorsitzenden Sahra Wagenknecht, die immer wieder ihren Wunsch nach einer flüchtlingsfreundlicheren Politik geäußert und deshalb auch Kanzlerin Angela Merkel (CDU) öffentlich gelobt hatte.","Indirekt zollte Kipping damit der Fraktionsvorsitzenden Sahra Wagenknecht Respekt, die trotz ihrer Vorbehalte gegen eine zu flüchtlingsfreundliche Politik, die Kanzlerin Angela Merkel (CDU) selten kritisiert hatte.","Indirekt stimmte Kipping damit nicht der Fraktionsvorsitzenden Sahra Wagenknecht zu, die trotz ihrer Unterstützung für eine flüchtlingsfreundliche Politik, Kanzlerin Angela Merkel (CDU) wiederholt angegriffen hatte.","Indirekt sprach Kipping damit der Fraktionsvorsitzenden Sahra Wagenknecht Lob zu, die ihre Vorbehalte gegen eine zu flüchtlingsfreundliche Politik ausgedrückt und dafür Kanzlerin Angela Merkel (CDU) wiederholt gelobt hatte.","Kipping a indirectement soutenu la presidente du groupe parlementaire Sarah Wagenknecht, qui n'a cesse de manifester son enthousiasme pour une politique d'immigration accueillante et a également loué à plusieurs reprises la chancelière Angela Merkel (CDU) pour cette même raison.","Kipping a directement contredit la presidente du  groupe parlementaire Sarah Wagenknecht, qui n'a jamais exprime sa reticence envers une politique  d'immigration trop accueillante et qui avait également félicité la chancelière Angela Merkel (CDU) pour cette même raison.","Kipping a indirectement confirme la position de la presidente du groupe parlementaire Sarah Wagenknecht, qui n'a cessé d'exprimer sa réticence envers une politique d'immigration trop accueillante et qui avait également critiqué à maintes reprises la chancelière Angela Merkel (CDU) pour cette même raison.","Kipping n'a pas indirectement contredit la presidente du groupe parlementaire Sarah Wagenknecht, qui n'a cessé d'exprimer sa réticence envers une politique d'immigration trop accueillante et qui avait également critiqué la chancelière Angela Merkel (CDU) à maintes reprises pour cette même raison."
"Depuis plusieurs semaines déjà, Wagenknecht, la politicienne la plus connue de die Linke, est tombée malade.",Wagenknecht ist als bekannteste Politikerin der Linken bereits seit mehreren Wochen erkrankt.,"Wagenknecht, als bekannteste Politikerin der Linken, hat bereits seıt mehreren Wochen gefehlt.","Wagenknecht, als bekannteste Politikerin der Linken, ist bereits seıt mehreren Wochen verhindert.","Wagenknecht, die bekannteste Autorin der Linken, ist bereits seıt mehreren Wochen erkrankt.",Wagenknecht ist als renommierteste Forscherin der Linken seit mehreren Wochen erkrankt.,"Depuis plusieurs semaines maintenant, Wagenknecht, le politicien le moins connu de die Linke, se trouve en bonne sante.","Depuis quelques annees déjà, Wagenknecht, l'économiste la plus renommée de die Linke, est tombée en disgrâce.","Cela fait plusieurs semaines que Wagenknecht, la politicienne la plus critique de die Linke, est en congé maladie.","Depuis plusieurs semaines déjà, die Linke, le parti politique le plus connu de Wagenknecht, est tombé en déclin."
C'est également pour cette raison qu'elle ne participe pas au congrès du parti à Bonn.,Sie nimmt deshalb auch nicht an dem Parteitag in Bonn teil.,"""Sie nimmt jedoch nicht an dem Parteitag in Bonn teil.""","""Sie nimmt nur deshalb an dem Parteitag in Bonn teil.""","""Sie nimmt deshalb den Parteitag iın Bonn nicht ernst.""","""Sie nimmt deshalb doch an dem Parteitag in Bonn teil.""",C'est précisément pour cette raison qu'elle n'assiste pas à la convention du parti à Lyon.,C'est justement pour cette raison qu'elle ne contribue pas à la conférence du parti à Marseille.,C'est exactement pour cette raison qu'elle ne collabore pas à l'assemblée du parti à Bordeaux.,C'est spécifiquement pour cette raison qu'elle ne s'implique pas à la réunion du parti à Toulouse.
"Debut janvier, le groupe parlementaire du Bundestag avait laissé filer la polémique qu'elle avait suscite dans le contexte des controverses sur la politique d'immigration.",Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Flüchtlingspolitik geplanten Aufstand Anfang Januar abgeblasen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Wirtschaftspolitik geplanten Aufstand Anfang Februar abgeblasen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Bildungspolitik geplanten Aufstand Anfang März abgeblasen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Umweltpolitik geplanten Aufstand Anfang April abgeblasen.,Die Bundestagsfraktion hatte einen gegen sie wegen der Kontroversen um die Gesundheitspolitik geplanten Aufstand Anfang Maı abgeblasen.,"Debut janvier, le groupe parlementaire du Bundestag avait chassé la tempête qu'il avait engendré dans le contexte des débats sur la politique d'immigration.","Debut janvier, le groupe parlementaire du Bundestag avait englouti la critique qu'elle avait provoqué dans l'environnement des disputes sur la politique d'immigration.","Debut janvier, le groupe parlementaire du Bundestag avait seme la controverse qu'il avait cree dans le cadre des querelles sur la politique d'immigration.","Debut janvier, le groupe parlementaire du Bundestag avait nourri le débat qu'elle avait déclenché au milieu des polémiques sur la politique d'immigration."
